objectid,loc,district,idesigdate1,idesigdate2,ddesigdate,intdesigdate
550,210 Locust St,SH,,,3/10/1999,
503,233 S 6th St,SH,,,3/10/1999,
909,600 Commodore Ct,,6/26/1956,,,
551,210 Locust St,SH,,,3/10/1999,
552,210 Locust St,SH,,,3/10/1999,
553,210 Locust St,SH,,,3/10/1999,
554,210 Locust St,SH,,,3/10/1999,
555,210 Locust St,SH,,,3/10/1999,
556,210 Locust St,SH,,,3/10/1999,
557,210 Locust St,SH,,,3/10/1999,
558,210 Locust St,SH,,,3/10/1999,
559,210 Locust St,SH,,,3/10/1999,
560,210 Locust St,SH,,,3/10/1999,
561,210 Locust St,SH,,,3/10/1999,
562,210 Locust St,SH,,,3/10/1999,
563,210 Locust St,SH,,,3/10/1999,
609,210 Locust St,SH,,,3/10/1999,
610,210 Locust St,SH,,,3/10/1999,
611,210 Locust St,SH,,,3/10/1999,
612,210 Locust St,SH,,,3/10/1999,
613,210 Locust St,SH,,,3/10/1999,
614,210 Locust St,SH,,,3/10/1999,
615,210 Locust St,SH,,,3/10/1999,
616,210 Locust St,SH,,,3/10/1999,
617,210 Locust St,SH,,,3/10/1999,
618,210 Locust St,SH,,,3/10/1999,
619,210 Locust St,SH,,,3/10/1999,
620,210 Locust St,SH,,,3/10/1999,
621,210 Locust St,SH,,,3/10/1999,
622,210 Locust St,SH,,,3/10/1999,
623,210 Locust St,SH,,,3/10/1999,
564,210 Locust St,SH,,,3/10/1999,
565,210 Locust St,SH,,,3/10/1999,
566,210 Locust St,SH,,,3/10/1999,
567,210 Locust St,SH,,,3/10/1999,
568,210 Locust St,SH,,,3/10/1999,
